---------------------------------
| rollout/           |          |
|    entropy_loss         | -2.74       |
|    explained_variance   | -0.11       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.16        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00176    |
|    std                  | 0.954       |
|    value_loss           | 15.9        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.18e+03     |
|    ep_rew_mean          | -8.76        |
| time/                   |              |
|    fps                  | 1531         |
|    iterations           | 10           |
|    time_elapsed         | 13           |
|    total_timesteps      | 102400       |
| train/                  |              |
|    approx_kl            | 0.0035667294 |
|    clip_fraction        | 0.051        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.74        |
|    explained_variance   | 0.0826       |
|    learning_rate        | 0.0003       |
|    loss                 | 22.6         |
|    n_updates            | 245          |
|    policy_gradient_loss | -0.00198     |
|    std                  | 0.952        |
|    value_loss           | 109          |
------------------------------------------
/Users/vincenzo/.matplotlib is not a writable directory
Matplotlib created a temporary cache directory at /var/folders/md/kv9mdwg12kx6mzqxwj8tdkkr0000gn/T/matplotlib-9r_goqkd because there was an issue with the default path ({configdir}); it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Matplotlib is building the font cache; this may take a moment.
Checkpoint 5 complete; training stopped.
Cumulative timesteps: 102,400
use_target_turn_rate_obs: True
Episodes this checkpoint: 16
First/last quintile mean reward: 42.514596 / 46.758200
Fixed eval: 5/9 hits (55.6%)
Mean/median miss distance: 535.810 / 4.117 m
Group B (ConstantTurn) hits / mean miss: 0/3 / 1599.731 m
Model: outputs/observation_target_turn_rate/checkpoints/rl_checkpoint_05.zip
Training curve: outputs/observation_target_turn_rate/training_curve.png
Progress log: outputs/observation_target_turn_rate/training_progress.md
